file;vertices;edges;time;solsize;recsteps;finished;verified
/home/team3/files/wce-students-new/2-real-world/r067.dimacs;44;554;1.11;787;607;1;correct;
/home/team3/files/wce-students-new/2-real-world/r069.dimacs;44;910;0.68;153;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r071.dimacs;45;313;0.70;226;35;1;correct;
/home/team3/files/wce-students-new/2-real-world/r073.dimacs;45;926;0.69;158;13;1;correct;
/home/team3/files/wce-students-new/2-real-world/r075.dimacs;45;438;0.86;774;141;1;correct;
/home/team3/files/wce-students-new/2-real-world/r077.dimacs;45;635;1.00;1321;213;1;correct;
/home/team3/files/wce-students-new/2-real-world/r079.dimacs;42;470;3.12;1461;4469;1;correct;
/home/team3/files/wce-students-new/2-real-world/r081.dimacs;45;833;0.86;840;127;1;correct;
/home/team3/files/wce-students-new/2-real-world/r083.dimacs;45;811;0.92;774;251;1;correct;
/home/team3/files/wce-students-new/2-real-world/r085.dimacs;45;782;1.13;1031;359;1;correct;
/home/team3/files/wce-students-new/2-real-world/r087.dimacs;46;927;0.71;343;17;1;correct;
/home/team3/files/wce-students-new/2-real-world/r089.dimacs;49;515;;;;0;
/home/team3/files/wce-students-new/2-real-world/r091.dimacs;64;902;0.95;1760;63;1;correct;
/home/team3/files/wce-students-new/2-real-world/r093.dimacs;62;1785;0.88;645;49;1;correct;
/home/team3/files/wce-students-new/2-real-world/r095.dimacs;64;1632;3.57;1801;1911;1;correct;
/home/team3/files/wce-students-new/2-real-world/r097.dimacs;60;805;;;;0;
/home/team3/files/wce-students-new/2-real-world/r099.dimacs;65;2023;0.76;428;31;1;correct;
/home/team3/files/wce-students-new/2-real-world/r101.dimacs;65;1254;1.75;3157;521;1;correct;
/home/team3/files/wce-students-new/2-real-world/r103.dimacs;62;1166;16.79;2031;12913;1;correct;
/home/team3/files/wce-students-new/2-real-world/r105.dimacs;65;1441;17.72;2820;11165;1;correct;
/home/team3/files/wce-students-new/2-real-world/r107.dimacs;57;917;;;;0;
/home/team3/files/wce-students-new/2-real-world/r109.dimacs;77;618;1.24;1470;381;1;correct;
/home/team3/files/wce-students-new/2-real-world/r111.dimacs;78;1837;;;;0;
/home/team3/files/wce-students-new/2-real-world/r113.dimacs;79;861;4.80;1808;2947;1;correct;
/home/team3/files/wce-students-new/2-real-world/r115.dimacs;80;2387;1.12;772;149;1;correct;
/home/team3/files/wce-students-new/2-real-world/r117.dimacs;81;531;2.46;485;1433;1;correct;
/home/team3/files/wce-students-new/2-real-world/r119.dimacs;82;1278;11.44;2056;5923;1;correct;
/home/team3/files/wce-students-new/2-real-world/r121.dimacs;119;2717;24.64;3546;6771;1;correct;
/home/team3/files/wce-students-new/2-real-world/r123.dimacs;119;2029;;;;0;
/home/team3/files/wce-students-new/2-real-world/r125.dimacs;128;4088;1.46;2008;109;1;correct;
/home/team3/files/wce-students-new/2-real-world/r127.dimacs;123;2155;;;;0;
/home/team3/files/wce-students-new/2-real-world/r129.dimacs;130;7692;1.34;1399;103;1;correct;
/home/team3/files/wce-students-new/2-real-world/r131.dimacs;137;1525;;;;0;
/home/team3/files/wce-students-new/2-real-world/r133.dimacs;127;1443;;;;0;
/home/team3/files/wce-students-new/2-real-world/r135.dimacs;108;2811;;;;0;
/home/team3/files/wce-students-new/2-real-world/r137.dimacs;146;3495;1.63;1784;117;1;correct;
/home/team3/files/wce-students-new/2-real-world/r139.dimacs;154;5117;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a001.dimacs;10;14;0.62;246;15;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a002.dimacs;10;8;0.59;41;3;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a003.dimacs;10;27;0.59;367;7;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a005.dimacs;20;50;0.64;1228;41;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a007.dimacs;20;143;0.65;3170;53;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a009.dimacs;30;138;0.74;4233;221;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a011.dimacs;30;214;0.61;205;1;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a013.dimacs;40;277;18.63;8669;55099;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a015.dimacs;40;484;0.74;3603;23;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a017.dimacs;50;474;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a019.dimacs;50;775;0.91;10169;41;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a021.dimacs;60;639;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a023.dimacs;60;1333;2.44;16449;1045;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a025.dimacs;70;706;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a027.dimacs;70;1319;0.91;7933;21;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a029.dimacs;80;1231;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a031.dimacs;80;2077;1.27;17485;67;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a033.dimacs;90;1353;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a035.dimacs;90;3028;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a037.dimacs;100;1413;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a039.dimacs;100;4320;1.28;25461;33;1;correct;
/home/team3/files/wce-students-new/3-actionseq/a041.dimacs;110;2058;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a043.dimacs;110;4392;;;;0;
/home/team3/files/wce-students-new/3-actionseq/a045.dimacs;120;2340;;;;0;
