file;Type;Atime;Btime;Arecsteps;Brecsteps
/home/team3/files/wce-students-new/2-real-world/r065.dimacs;real-world;0.71;0.7;47.0;47.0
/home/team3/files/wce-students-new/2-real-world/r067.dimacs;real-world;0.99;1.11;607.0;607.0
/home/team3/files/wce-students-new/2-real-world/r069.dimacs;real-world;0.72;0.68;11.0;11.0
/home/team3/files/wce-students-new/2-real-world/r071.dimacs;real-world;0.66;0.7;35.0;35.0
/home/team3/files/wce-students-new/2-real-world/r073.dimacs;real-world;0.67;0.69;13.0;13.0
/home/team3/files/wce-students-new/2-real-world/r075.dimacs;real-world;0.88;0.86;141.0;141.0
/home/team3/files/wce-students-new/2-real-world/r077.dimacs;real-world;0.94;1.0;213.0;213.0
/home/team3/files/wce-students-new/2-real-world/r079.dimacs;real-world;2.32;3.12;4445.0;4469.0
/home/team3/files/wce-students-new/2-real-world/r081.dimacs;real-world;0.88;0.86;127.0;127.0
/home/team3/files/wce-students-new/2-real-world/r083.dimacs;real-world;0.87;0.92;251.0;251.0
/home/team3/files/wce-students-new/2-real-world/r085.dimacs;real-world;1.01;1.13;359.0;359.0
/home/team3/files/wce-students-new/2-real-world/r087.dimacs;real-world;0.7;0.71;17.0;17.0
/home/team3/files/wce-students-new/2-real-world/r091.dimacs;real-world;0.87;0.95;63.0;63.0
/home/team3/files/wce-students-new/2-real-world/r093.dimacs;real-world;0.79;0.88;49.0;49.0
/home/team3/files/wce-students-new/2-real-world/r095.dimacs;real-world;3.13;3.57;1911.0;1911.0
/home/team3/files/wce-students-new/2-real-world/r099.dimacs;real-world;0.8;0.76;31.0;31.0
/home/team3/files/wce-students-new/2-real-world/r101.dimacs;real-world;1.58;1.75;521.0;521.0
/home/team3/files/wce-students-new/2-real-world/r103.dimacs;real-world;13.66;16.79;12911.0;12913.0
/home/team3/files/wce-students-new/2-real-world/r105.dimacs;real-world;15.59;17.72;11165.0;11165.0
/home/team3/files/wce-students-new/2-real-world/r109.dimacs;real-world;1.0;1.24;381.0;381.0
/home/team3/files/wce-students-new/2-real-world/r113.dimacs;real-world;4.0;4.8;2947.0;2947.0
/home/team3/files/wce-students-new/2-real-world/r115.dimacs;real-world;1.02;1.12;149.0;149.0
/home/team3/files/wce-students-new/2-real-world/r117.dimacs;real-world;1.98;2.46;1433.0;1433.0
/home/team3/files/wce-students-new/2-real-world/r119.dimacs;real-world;9.66;11.44;5923.0;5923.0
/home/team3/files/wce-students-new/2-real-world/r121.dimacs;real-world;21.85;24.64;6771.0;6771.0
/home/team3/files/wce-students-new/2-real-world/r125.dimacs;real-world;1.24;1.46;109.0;109.0
/home/team3/files/wce-students-new/2-real-world/r129.dimacs;real-world;1.32;1.34;103.0;103.0
/home/team3/files/wce-students-new/2-real-world/r137.dimacs;real-world;1.5;1.63;117.0;117.0
/home/team3/files/wce-students-new/3-actionseq/a001.dimacs;action-seq;0.61;0.62;15.0;15.0
/home/team3/files/wce-students-new/3-actionseq/a002.dimacs;action-seq;0.61;0.59;3.0;3.0
/home/team3/files/wce-students-new/3-actionseq/a003.dimacs;action-seq;0.61;0.59;7.0;7.0
/home/team3/files/wce-students-new/3-actionseq/a005.dimacs;action-seq;0.62;0.64;41.0;41.0
/home/team3/files/wce-students-new/3-actionseq/a007.dimacs;action-seq;0.63;0.65;53.0;53.0
/home/team3/files/wce-students-new/3-actionseq/a009.dimacs;action-seq;0.71;0.74;217.0;221.0
/home/team3/files/wce-students-new/3-actionseq/a011.dimacs;action-seq;0.61;0.61;1.0;1.0
/home/team3/files/wce-students-new/3-actionseq/a013.dimacs;action-seq;5.3;18.63;22805.0;55099.0
/home/team3/files/wce-students-new/3-actionseq/a015.dimacs;action-seq;0.73;0.74;23.0;23.0
/home/team3/files/wce-students-new/3-actionseq/a019.dimacs;action-seq;0.83;0.91;41.0;41.0
/home/team3/files/wce-students-new/3-actionseq/a023.dimacs;action-seq;2.2;2.44;1045.0;1045.0
/home/team3/files/wce-students-new/3-actionseq/a027.dimacs;action-seq;0.86;0.91;21.0;21.0
/home/team3/files/wce-students-new/3-actionseq/a031.dimacs;action-seq;1.21;1.27;67.0;67.0
/home/team3/files/wce-students-new/3-actionseq/a039.dimacs;action-seq;1.23;1.28;33.0;33.0
