file;vertices;edges;time;solsize;recsteps;finished;verified
/home/team3/files/wce-students-new/1-random/r061.dimacs;90;1384;1.75;7305;205;1;correct;
/home/team3/files/wce-students-new/1-random/r063.dimacs;90;2970;1.78;7366;185;1;correct;
/home/team3/files/wce-students-new/1-random/r065.dimacs;100;1708;7.30;8291;1121;1;correct;
/home/team3/files/wce-students-new/1-random/r067.dimacs;100;2067;1.96;8086;223;1;correct;
/home/team3/files/wce-students-new/2-real-world/r001.dimacs;4;3;0.63;0;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r003.dimacs;6;8;0.59;21;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r005.dimacs;16;118;0.60;4;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r007.dimacs;16;107;0.60;7;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r009.dimacs;13;77;0.60;8;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r011.dimacs;14;88;0.58;10;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r013.dimacs;15;48;0.59;14;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r015.dimacs;10;14;0.61;16;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r017.dimacs;14;60;0.58;20;7;1;correct;
/home/team3/files/wce-students-new/2-real-world/r019.dimacs;16;112;0.57;22;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r021.dimacs;11;22;0.59;24;9;1;correct;
/home/team3/files/wce-students-new/2-real-world/r023.dimacs;16;39;0.60;80;29;1;correct;
/home/team3/files/wce-students-new/2-real-world/r025.dimacs;16;95;0.59;84;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r027.dimacs;16;84;0.61;88;19;1;correct;
/home/team3/files/wce-students-new/2-real-world/r029.dimacs;16;68;0.61;92;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r031.dimacs;13;75;0.61;102;29;1;correct;
/home/team3/files/wce-students-new/2-real-world/r033.dimacs;16;48;0.60;105;39;1;correct;
/home/team3/files/wce-students-new/2-real-world/r035.dimacs;16;45;0.59;122;23;1;correct;
/home/team3/files/wce-students-new/2-real-world/r037.dimacs;15;45;0.60;140;53;1;correct;
/home/team3/files/wce-students-new/2-real-world/r039.dimacs;18;139;0.59;7;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r041.dimacs;17;40;0.59;16;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r043.dimacs;16;92;0.60;21;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r045.dimacs;15;86;0.57;27;1;1;correct;
/home/team3/files/wce-students-new/2-real-world/r047.dimacs;15;81;0.60;38;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r048.dimacs;17;35;0.59;44;15;1;correct;
/home/team3/files/wce-students-new/2-real-world/r049.dimacs;18;143;0.60;46;3;1;correct;
/home/team3/files/wce-students-new/2-real-world/r051.dimacs;17;115;0.59;53;7;1;correct;
/home/team3/files/wce-students-new/2-real-world/r053.dimacs;15;82;0.59;56;5;1;correct;
/home/team3/files/wce-students-new/2-real-world/r055.dimacs;43;268;1.06;1064;1043;1;correct;
/home/team3/files/wce-students-new/2-real-world/r057.dimacs;44;893;0.72;216;37;1;correct;
/home/team3/files/wce-students-new/2-real-world/r059.dimacs;44;784;0.93;1196;209;1;correct;
/home/team3/files/wce-students-new/2-real-world/r061.dimacs;44;634;0.98;1463;399;1;correct;
/home/team3/files/wce-students-new/2-real-world/r063.dimacs;44;759;0.70;280;21;1;correct;
/home/team3/files/wce-students-new/2-real-world/r065.dimacs;44;304;0.71;345;47;1;correct;
/home/team3/files/wce-students-new/2-real-world/r067.dimacs;44;554;0.99;787;607;1;correct;
/home/team3/files/wce-students-new/2-real-world/r069.dimacs;44;910;0.72;153;11;1;correct;
/home/team3/files/wce-students-new/2-real-world/r071.dimacs;45;313;0.66;226;35;1;correct;
/home/team3/files/wce-students-new/2-real-world/r073.dimacs;45;926;0.67;158;13;1;correct;
/home/team3/files/wce-students-new/2-real-world/r075.dimacs;45;438;0.88;774;141;1;correct;
/home/team3/files/wce-students-new/2-real-world/r077.dimacs;45;635;0.94;1321;213;1;correct;
/home/team3/files/wce-students-new/2-real-world/r079.dimacs;42;470;2.32;1461;4445;1;correct;
/home/team3/files/wce-students-new/2-real-world/r081.dimacs;45;833;0.88;840;127;1;correct;
/home/team3/files/wce-students-new/2-real-world/r083.dimacs;45;811;0.87;774;251;1;correct;
/home/team3/files/wce-students-new/2-real-world/r085.dimacs;45;782;1.01;1031;359;1;correct;
/home/team3/files/wce-students-new/2-real-world/r087.dimacs;46;927;0.70;343;17;1;correct;
/home/team3/files/wce-students-new/2-real-world/r089.dimacs;49;515;;;;0;
